Nome do vendedor;Produto vendido;Quantidade unitária;Valor do produto;Valor da venda;Data da compra;Localização
Bruno Farias;Produto E;1;44.54;44.54;13/02/2023;MT
Júlia Oliveira;Produto A;1;16.84;16.84;25/08/2022;SC
Fernanda Melo;Produto A;6;84.11;504.66;23/11/2022;RJ
Enzo Viana;Produto E;2;83.9;167.8;27/05/2022;GO
Helena Lima;Produto A;9;53.64;482.76;01/12/2022;MG
Ana Carolina Rezende;Produto B;8;88.35;706.8;01/07/2022;AL
Luiz Miguel Pereira;Produto A;7;57.33;401.31;25/05/2022;RO
Bruna Fogaça;Produto E;2;58.53;117.06;11/07/2022;PR
Caroline Moreira;Produto B;9;84.93;764.37;24/11/2022;MS
Bruna Duarte;Produto E;3;41.5;124.5;24/07/2022;MT
Lívia Cardoso;Produto D;6;23.56;141.36;01/05/2023;RJ
Letícia Souza;Produto D;8;72.35;578.8;12/05/2023;ES
Caio Correia;Produto D;5;88.18;440.9;01/12/2022;AL
Renan Lopes;Produto B;6;19.16;114.96;22/04/2023;BA
Isabella Araújo;Produto A;5;58.19;290.95;20/04/2023;PE
Helena Nunes;Produto B;7;57.88;405.16;31/12/2022;RO
Leandro Lessa;Produto E;3;13.24;39.72;21/08/2022;RN
Dr. Pedro Henrique Almeida;Produto B;4;48.38;193.52;03/05/2023;AL
Theo Rodrigues;Produto C;8;40.18;321.44;20/06/2022;PB
Sarah Cardoso;Produto E;10;77.43;774.3;14/06/2022;MA
Emanuella Lopes;Produto A;2;82.0;164.0;14/02/2023;TO
Leandro Lessa;Produto D;3;57.83;173.49;02/09/2022;RN
Eloah Peixoto;Produto E;2;43.06;86.12;27/01/2023;PB
Ana Júlia Cunha;Produto A;8;89.21;713.68;05/08/2022;PI
Ana Carolina Rodrigues;Produto E;9;75.96;683.64;12/04/2023;AL
Lívia Monteiro;Produto D;9;96.08;864.72;01/07/2022;MT
Davi Luiz Azevedo;Produto C;8;39.36;314.88;23/04/2023;MG
Maria Vitória Costela;Produto B;7;55.74;;09/12/2022;SE
Luna Moreira;Produto E;6;47.33;283.98;07/01/2023;MS
Marcela Duarte;Produto D;10;53.64;536.4;11/12/2022;CE
Maysa Moura;Produto A;6;15.7;94.2;11/09/2022;AP
Ian Rocha;Produto A;5;97.39;486.95;18/09/2022;ES
Cauã Campos;Produto C;5;83.88;419.4;09/06/2022;MS
Breno Rodrigues;Produto C;3;43.61;130.83;24/06/2022;ES
Leandro Lessa;Produto D;10;20.58;205.8;14/03/2023;PE
Levi Teixeira;Produto B;6;98.37;590.22;31/01/2023;AM
Felipe Dias;Produto D;4;59.15;236.6;27/08/2022;AM
Gustavo Henrique Farias;Produto B;7;41.92;293.44;30/05/2022;MG
Kevin da Conceição;Produto E;9;86.66;779.94;26/04/2023;TO
Leandro Caldeira;Produto E;9;69.63;626.67;23/04/2023;MS
Enzo Novaes;Produto D;7;23.65;165.55;28/05/2022;SP
Daniel Sales;Produto A;7;54.37;380.59;04/11/2022;RS
Daniela Viana;Produto C;2;48.36;96.72;13/07/2022;MT
Leandro Lessa;Produto C;8;55.24;441.92;11/03/2023;RS
Ryan Aragão;Produto D;10;60.13;601.3;29/09/2022;MS
Leandro Lessa;Produto E;6;67.76;406.56;04/01/2023;PA
Leandro Lessa;Produto D;10;31.62;316.2;15/06/2022;AP
Nicolas Souza;Produto C;8;89.09;712.72;03/02/2023;RJ
Dr. Daniel Novaes;Produto B;9;77.96;701.64;08/05/2023;PA
Leandro Lessa;Produto D;7;48.97;342.79;27/08/2022;PI
Yago Cardoso;Produto D;7;84.01;588.07;01/11/2022;RS
Augusto Souza;Produto C;9;17.14;154.26;30/11/2022;PA
Beatriz Castro;Produto B;2;95.72;191.44;04/01/2023;DF
Igor Rezende;Produto C;5;39.46;197.3;22/01/2023;CE
Bruno Gomes;Produto C;5;19.48;97.4;17/07/2022;ES
Leandro Lessa;Produto C;6;;399.18;15/09/2022;MA
Pedro Lucas Caldeira;Produto D;9;24.25;218.25;30/06/2022;DF
Dr. Cauã Lima;Produto A;5;20.25;101.25;30/04/2023;SE
Luiz Fernando Porto;Produto E;8;64.91;519.28;15/11/2022;SE
Larissa Cunha;Produto E;6;11.62;69.72;13/12/2022;DF
Leandro Lessa;Produto D;3;40.45;121.35;08/11/2022;SE
Maysa Fernandes;Produto A;9;60.44;543.96;03/01/2023;RJ
Cecília Freitas;Produto A;4;26.53;106.12;03/07/2022;RR
Luigi Almeida;Produto D;5;12.97;64.85;05/03/2023;AL
Marcos Vinicius Carvalho;Produto D;9;13.2;118.8;28/06/2022;RN
Luna da Mota;Produto B;6;53.17;319.02;17/04/2023;RO
João Felipe da Mota;Produto B;7;45.23;316.61;05/11/2022;AC
Diego da Cunha;Produto D;1;33.16;33.16;15/06/2022;MT
Maria Vitória Ribeiro;Produto C;4;79.9;319.6;08/12/2022;RJ
João Gabriel Ramos;Produto C;9;64.9;584.1;03/06/2022;AL
Vitor Gabriel Fernandes;Produto D;2;86.71;173.42;02/10/2022;PR
Pietra da Luz;Produto E;4;44.44;177.76;13/04/2023;RJ
Isabelly Pires;Produto D;5;68.35;341.75;06/03/2023;RN
Noah Alves;Produto C;4;47.62;190.48;25/05/2022;RO
Leonardo Pereira;Produto D;9;45.31;407.79;11/11/2022;PI
Fernanda Jesus;Produto C;8;11.87;94.96;01/10/2022;GO
Amanda Porto;Produto E;1;23.4;23.4;03/05/2023;CE
Dr. Davi Lucca Azevedo;Produto B;10;25.26;252.6;17/07/2022;AL
Vitor Ferreira;Produto A;1;31.51;31.51;15/05/2023;PR
Rafaela Ferreira;Produto D;10;62.25;622.5;15/10/2022;PR
Dr. Ryan Moraes;Produto D;10;96.51;965.1;17/10/2022;MA
Matheus Souza;Produto C;9;97.06;873.54;17/02/2023;MS
Dr. André Almeida;Produto A;6;22.46;134.76;21/10/2022;PA
Larissa Pires;Produto B;5;23.75;118.75;04/04/2023;CE
João Vitor Cardoso;Produto A;3;48.35;145.05;11/06/2022;RJ
Maitê da Luz;Produto B;7;60.53;423.71;22/04/2023;BA
Pedro Miguel Carvalho;Produto A;1;77.48;77.48;07/02/2023;MG
Mirella Silva;Produto C;8;26.74;213.92;27/02/2023;MS
Eduardo Rezende;Produto C;6;72.92;437.52;30/11/2022;CE
Dr. Enzo Gabriel Novaes;Produto C;6;14.53;87.18;04/10/2022;GO
Dr. Breno Moraes;Produto E;5;54.35;271.75;13/11/2022;AM
Isis Monteiro;Produto E;6;14.93;89.58;09/10/2022;BA
Samuel Souza;Produto E;2;96.71;193.42;08/10/2022;SP
Emanuella da Rocha;Produto D;2;99.44;198.88;22/11/2022;SP
Kaique Santos;Produto D;8;10.66;85.28;23/09/2022;PB
Vitor Hugo da Paz;Produto E;8;32.2;257.6;21/11/2022;BA
Dr. Ian Fogaça;Produto A;7;86.53;;25/09/2022;PB
Eduardo da Cunha;Produto A;4;76.02;304.08;29/03/2023;RR
Antônio Martins;Produto A;4;85.7;342.8;23/09/2022;MG
Bárbara Pereira;Produto B;8;16.5;132.0;18/06/2022;RJ
Dr. Anthony Nunes;Produto C;9;57.32;515.88;20/09/2022;CE
Eloah da Cruz;Produto A;9;68.36;615.24;12/07/2022;MS
João Guilherme Ferreira;Produto E;5;78.47;392.35;06/06/2022;GO
Isis Cardoso;Produto D;2;60.73;121.46;22/05/2023;SE
Marcelo Porto;Produto C;7;31.88;223.16;10/12/2022;GO
Dr. Paulo Melo;Produto A;9;43.1;387.9;15/07/2022;RS
Leandro Lessa;Produto E;9;76.65;689.85;17/05/2023;MG
Yuri da Mata;Produto B;4;89.35;357.4;29/03/2023;BA
Maria Eduarda Cardoso;Produto A;10;96.86;968.6;03/11/2022;MA
Dr. Benjamin da Paz;Produto C;2;96.1;192.2;15/04/2023;SE
Carlos Eduardo Carvalho;Produto C;3;92.95;278.85;13/03/2023;AL
Clarice Mendes;Produto E;8;20.31;162.48;04/01/2023;PA
Dra. Júlia Peixoto;Produto D;8;58.52;468.16;05/01/2023;SP
Vitor Santos;Produto A;6;18.15;108.9;17/12/2022;PE
Breno Rezende;Produto D;8;75.57;604.56;24/03/2023;MS
Dra. Valentina Farias;Produto D;3;15.39;46.17;23/12/2022;GO
Enzo Freitas;Produto C;8;35.44;283.52;30/11/2022;RJ
Luiz Gustavo Fogaça;Produto A;1;38.37;38.37;27/12/2022;PI
Giovanna Nogueira;Produto C;10;54.84;548.4;17/07/2022;SP
Isis Rodrigues;Produto A;9;11.35;102.15;26/02/2023;PA
Daniel Nascimento;Produto B;6;44.76;268.56;11/04/2023;MS
Daniela Araújo;Produto B;4;95.29;381.16;31/12/2022;MG
Larissa Costela;Produto C;1;59.23;59.23;05/05/2023;AL
Elisa Castro;Produto A;4;36.25;145.0;01/06/2022;AL
Pedro Miguel Duarte;Produto C;3;23.02;69.06;19/01/2023;SE
Leandro Lessa;Produto D;1;65.72;65.72;04/06/2022;GO
Dr. André Castro;Produto B;3;35.95;107.85;14/09/2022;RN
Letícia Araújo;Produto E;9;81.24;731.16;29/09/2022;ES
Dr. João Melo;Produto C;9;93.58;842.22;11/02/2023;SP
Dr. Emanuel Sales;Produto D;3;42.69;128.07;29/10/2022;MG
Luana Vieira;Produto C;8;35.72;285.76;05/06/2022;RN
Sarah da Luz;Produto B;6;71.08;426.48;31/01/2023;AC
Maria Eduarda Porto;Produto E;2;69.43;138.86;11/08/2022;AP
Davi Ferreira;Produto B;10;55.68;556.8;22/05/2023;DF
Sofia Barbosa;Produto E;5;49.49;247.45;15/12/2022;RJ
Evelyn Pinto;Produto C;4;59.02;236.08;12/08/2022;PA
Catarina Gonçalves;Produto B;2;56.12;112.24;29/06/2022;RN
Olivia Rezende;;9;40.05;360.45;22/12/2022;PB
Rodrigo Fogaça;Produto C;8;52.0;416.0;16/05/2023;RN
Pedro Araújo;Produto B;7;23.39;163.73;12/06/2022;MS
Leandro Lessa;Produto B;9;41.51;373.59;11/07/2022;AP
João Vitor Azevedo;Produto A;10;78.5;785.0;11/12/2022;PE
Leandro Lessa;Produto A;2;21.82;43.64;10/11/2022;MS
Nathan Silveira;Produto D;9;41.84;376.56;06/03/2023;AL
Matheus Mendes;Produto A;6;35.35;212.1;31/03/2023;PA
Leandro Lessa;Produto C;9;;807.21;28/04/2023;PR
Gabrielly Dias;Produto C;4;73.08;292.32;30/07/2022;SC
Daniel da Cunha;Produto C;9;12.08;108.72;12/01/2023;SE
Mariane das Neves;Produto E;2;74.57;149.14;05/03/2023;GO
Calebe Almeida;Produto B;5;57.61;288.05;01/01/2023;RS
Luiz Miguel Fernandes;Produto C;9;71.94;647.46;10/09/2022;RR
Nicolas Sales;Produto E;1;59.59;59.59;08/07/2022;RR
Stella Pinto;Produto E;2;29.39;58.78;05/03/2023;AP
Dra. Milena Dias;Produto B;2;12.55;25.1;25/12/2022;PB
Rafaela da Cunha;Produto E;9;52.28;470.52;27/05/2022;AL
Raquel Rocha;Produto B;4;18.01;72.04;03/04/2023;RR
Kevin da Cruz;Produto B;5;47.93;239.65;30/12/2022;ES
Otávio da Paz;Produto B;1;37.98;37.98;15/07/2022;MG
Maitê Correia;Produto C;6;79.43;476.58;01/02/2023;PE
Emilly Martins;Produto A;4;37.97;151.88;01/02/2023;SE
Joana Cardoso;Produto E;3;46.52;139.56;02/05/2023;MG
Felipe Moura;Produto A;10;58.05;580.5;08/08/2022;MS
Gabriel Lima;Produto D;3;25.3;75.9;11/11/2022;AL
Isaac Sales;Produto E;6;23.69;142.14;01/11/2022;PA
Dr. Anthony Gonçalves;Produto E;1;41.79;41.79;22/08/2022;RN
Luiz Fernando Novaes;Produto D;5;18.03;90.15;16/12/2022;MS
Renan da Costa;Produto A;4;20.59;82.36;07/08/2022;MS
Sophia Sales;Produto E;9;48.05;432.45;01/11/2022;AC
Vitor Caldeira;Produto E;9;74.79;;31/10/2022;PR
Leandro Lessa;Produto A;1;24.34;24.34;20/04/2023;PE
Thomas Mendes;Produto D;6;81.86;491.16;29/04/2023;TO
Sarah Rezende;Produto B;4;54.07;216.28;03/06/2022;DF
Marcos Vinicius Freitas;Produto C;7;68.48;479.36;09/05/2023;MA
Leandro Lessa;Produto B;5;60.66;303.3;03/12/2022;AC
Pedro Miguel Melo;Produto B;4;85.85;343.4;26/11/2022;PB
Vicente Souza;Produto D;1;92.19;92.19;04/01/2023;PA
Stella Costela;Produto C;5;95.72;478.6;12/11/2022;PE
Clara Pinto;Produto B;3;62.69;188.07;24/10/2022;TO
Mariana Rodrigues;Produto B;3;43.42;130.26;30/10/2022;RN
Davi Lucas Alves;Produto B;9;78.84;709.56;20/02/2023;CE
Helena Almeida;Produto E;1;67.52;67.52;29/09/2022;SC
Stephany Rodrigues;Produto D;1;20.8;20.8;25/04/2023;PE
Thales Barros;Produto D;1;13.96;13.96;20/03/2023;AL
Carolina Mendes;Produto B;3;78.87;236.61;03/06/2022;MG
Ana Dias;Produto D;1;81.31;81.31;10/01/2023;RR
Luigi Cavalcanti;Produto E;10;84.76;847.6;10/11/2022;MG
Davi Lucas Nascimento;Produto E;5;35.06;175.3;29/03/2023;PB
Gustavo Henrique Sales;Produto A;10;16.56;165.6;30/12/2022;AM
Manuela Moreira;Produto B;4;36.1;144.4;04/12/2022;RS
Alice da Rocha;Produto C;8;15.21;121.68;18/06/2022;MT
Ana Lívia Cunha;Produto C;8;23.9;191.2;06/07/2022;MT
Stella Melo;Produto B;6;67.3;403.8;07/09/2022;RR
Cecília Fernandes;Produto D;6;42.95;257.7;16/01/2023;PE
Maysa Barros;Produto A;2;87.08;174.16;21/11/2022;RO
João Pedro Alves;Produto A;3;67.75;203.25;26/03/2023;BA
Vicente Pinto;Produto B;10;73.75;737.5;20/02/2023;SE
Letícia Castro;Produto E;9;17.94;161.46;26/12/2022;DF
João Vitor Castro;Produto E;10;77.02;770.2;11/12/2022;PE
Ana Sophia da Cunha;Produto E;1;42.58;42.58;13/09/2022;RJ
Alícia Caldeira;Produto B;4;84.15;336.6;29/12/2022;RN
Camila Teixeira;Produto B;1;85.68;85.68;13/12/2022;RS
Sarah da Rosa;Produto D;3;61.36;184.08;22/06/2022;PE
Maria Luiza Rocha;Produto A;6;25.92;155.52;06/01/2023;RN
